2054	206	1.65	74	46	0.44	0.33
735	123	1.65	35	31	0.47	0.46
3344	231	1.27	73	63	0.17	0.23
2219	327	3.84	113	46	1.03	0.52
2862	276	2.13	86	28	0.25	0.44
4528	314	1.74	84	74	0.35	0.23
554	103	1.53	39	23	0.4	0.47
4396	311	1.76	98	70	0.21	0.2
2269	274	2.64	48	30	0.32	0.39
1901	198	1.66	66	37	0.28	0.39
3413	539	6.79	99	99	0.97	1.53
1082	130	1.25	41	31	0.26	0.4
2750	296	2.55	83	51	0.35	0.35
816	117	1.35	38	30	0.34	0.3
3783	367	2.84	90	33	0.24	0.5
4273	311	1.81	98	68	0.33	0.39
3316	264	1.67	77	59	0.22	0.22
1113	137	1.35	44	42	0.45	0.26
249	58	1.08	22	19	0.39	0.4
2354	256	2.22	66	58	0.59	0.47
4214	547	5.66	101	79	0.62	0.52
1336	168	1.69	55	39	0.35	0.29
1416	137	1.06	24	22	0.16	0.12
1432	163	1.49	57	37	0.5	0.51
1533	171	1.53	51	50	0.39	0.47
270	51	0.79	20	16	0.32	0.31
2708	244	1.75	56	39	0.32	0.52
1469	198	2.13	53	46	0.66	0.54
558	121	2.09	35	26	0.5	0.57
2417	228	1.72	78	49	0.52	0.25
4068	354	2.47	87	34	0.28	0.51
2066	233	2.1	74	35	0.22	0.25
3636	322	2.28	103	46	0.43	0.38
536	94	1.33	31	27	0.35	0.35
2193	236	2.04	83	46	0.43	0.84
3318	291	2.04	77	59	0.27	0.22
2178	213	1.67	65	52	0.39	0.52
6830	423	2.09	101	93	0.24	0.26
2033	192	1.45	61	49	0.22	0.32
2280	234	1.91	75	45	0.24	0.31
2267	213	1.6	79	39	0.28	0.28
1019	150	1.77	63	25	0.32	0.31
2578	328	3.33	61	53	0.47	0.54
1296	156	1.5	56	31	0.29	0.31
3668	280	1.71	69	42	0.34	0.26
2493	318	3.24	80	56	0.47	0.55
989	136	1.49	44	37	0.33	0.31
1405	151	1.3	50	44	0.26	0.23
