74879	[331, 213]	2307	5.66	408	267	0.44	0.36
175838	[310, 211]	3518	5.6	495	450	0.48	0.15
118345	[340, 235]	5911	23.5	525	434	0.88	0.68
108786	[315, 248]	6954	35.38	651	328	0.88	0.82
65463	[57, 391]	1945	4.6	334	296	0.62	0.77
90825	[439, 243]	4138	15.0	448	420	0.78	0.96
13104	[288, 216]	713	3.09	153	130	0.23	0.25
94916	[278, 204]	4648	18.12	383	367	0.47	0.51
91162	[283, 223]	5799	29.36	546	440	1.09	0.78
25730	[295, 205]	1065	3.51	209	176	0.22	0.34
71115	[251, 237]	2899	9.41	379	308	0.4	0.4
59501	[340, 209]	1389	2.58	357	272	0.21	0.61
82566	[291, 205]	3090	9.2	423	354	0.45	0.53
103899	[310, 229]	3836	11.27	428	266	0.44	0.35
35211	[334, 123]	928	1.95	248	191	0.14	0.11
45171	[272, 205]	1498	3.95	329	211	0.73	0.29
103233	[291, 232]	4384	14.82	497	451	1.01	0.97
94716	[282, 229]	3508	10.34	408	342	0.68	0.35
37715	[388, 234]	1826	7.04	310	198	0.48	0.47
110276	[272, 244]	2612	4.93	462	384	0.26	0.3
131243	[303, 222]	6677	27.04	643	564	1.34	1.15
121036	[431, 226]	6599	28.64	537	439	0.95	0.86
118408	[297, 243]	4035	10.94	570	404	0.39	0.6
46995	[282, 204]	2895	14.2	415	236	0.76	0.72
55533	[302, 230]	1218	2.13	318	226	0.16	0.18
24211	[296, 195]	1696	9.46	212	208	0.56	0.52
38564	[318, 246]	1214	3.04	264	215	0.31	0.23
86757	[302, 214]	1535	2.16	363	329	0.17	0.16
76558	[560, 252]	2457	6.28	331	177	0.37	0.37
74665	[301, 226]	1604	2.75	360	320	0.43	0.41
36384	[311, 228]	1311	3.76	275	210	0.37	0.34
111819	[321, 203]	7304	37.97	500	413	0.95	1.02
50276	[546, 291]	2893	13.25	452	421	1.83	1.18
122775	[354, 226]	2172	3.06	479	376	0.33	0.41
81916	[223, 226]	2893	8.14	417	314	0.67	0.39
102578	[293, 231]	2643	5.42	473	332	0.2	0.26
94518	[320, 199]	2919	7.18	389	352	0.31	0.38
142414	[289, 228]	3303	6.1	571	365	0.32	0.34
64443	[326, 227]	1606	3.19	350	219	0.24	0.14
73463	[325, 227]	3308	11.86	375	367	0.65	0.73
101718	[289, 226]	1933	2.93	477	289	0.18	0.25
85578	[290, 232]	3160	9.29	469	456	0.45	0.69
45046	[313, 215]	1536	4.17	270	237	0.16	0.19
113052	[286, 224]	2691	5.1	437	344	0.22	0.21
74338	[355, 191]	4866	25.35	505	331	1.18	0.78
67797	[316, 246]	2714	8.65	436	279	0.45	0.62
106816	[293, 222]	2488	4.61	445	283	0.28	0.15
49142	[308, 250]	2912	13.74	407	341	1.72	0.67
132176	[293, 203]	2500	3.76	464	328	0.35	0.23
83703	[315, 230]	2188	4.55	431	245	0.28	0.32
69587	[335, 219]	2468	6.97	374	361	0.33	0.47
99533	[319, 220]	2426	4.71	411	341	0.15	0.13
29780	[329, 222]	904	2.19	220	163	0.18	0.12
92202	[309, 227]	2355	4.79	358	249	0.26	0.29
69171	[293, 211]	1442	2.39	348	309	0.21	0.16
112456	[272, 214]	2963	6.21	507	318	0.21	0.21
100812	[318, 276]	2897	6.63	419	345	0.41	0.85
70858	[282, 217]	2642	7.84	409	271	0.41	0.47
84395	[299, 211]	2494	5.87	378	333	0.19	0.22
58942	[300, 147]	5763	44.85	379	359	1.19	0.94
116392	[266, 230]	2104	3.03	424	349	0.15	0.2
51026	[42, 174]	1719	4.61	247	181	0.42	0.5
109553	[349, 206]	3688	9.88	356	328	0.43	0.32
90912	[133, 164]	4341	16.5	457	411	0.88	0.73
67347	[301, 208]	1015	1.22	262	163	0.16	0.18
45663	[310, 252]	1925	6.46	304	276	0.72	0.36
37615	[306, 209]	1148	2.79	172	154	0.25	0.27
60009	[309, 206]	1883	4.7	399	259	0.28	0.33
89160	[400, 126]	1725	2.66	278	208	0.17	0.21
49611	[294, 219]	1315	2.78	258	227	0.21	0.25
45930	[256, 226]	2124	7.82	402	250	1.08	0.46
43717	[301, 198]	1415	3.65	266	252	0.64	0.43
74532	[275, 218]	2255	5.43	445	218	0.24	0.27
44428	[355, 254]	2637	12.46	307	259	0.66	0.59
42108	[208, 199]	1851	6.48	345	222	0.56	0.69
72126	[282, 212]	1261	1.76	368	283	0.36	0.29
